2025-09-21T15:50:19,291 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_system_com_cadence_tango_plugins_installer_1.0.0_jfxrt.jar/0.0.0
2025-09-21T15:50:19,293 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_org_apache_httpcomponents_httpcore_4.4.8_httpcore-4.4.8.jar/0.0.0
2025-09-21T15:50:19,295 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_org_apache_httpcomponents_httpclient_4.5.13_httpclient-4.5.13.jar/0.0.0
2025-09-21T15:50:19,296 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_org_springframework_spring-core_3.2.8.RELEASE_spring-core-3.2.8.RELEASE.jar/0.0.0
2025-09-21T15:50:19,298 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_org_springframework_spring-beans_3.2.8.RELEASE_spring-beans-3.2.8.RELEASE.jar/0.0.0
2025-09-21T15:50:19,299 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_org_springframework_spring-context_3.2.8.RELEASE_spring-context-3.2.8.RELEASE.jar/0.0.0
2025-09-21T15:50:19,301 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_org_springframework_spring-web_3.2.8.RELEASE_spring-web-3.2.8.RELEASE.jar/0.0.0
2025-09-21T15:50:19,303 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   com.cadence.tango.osgi-splash/1.0.0
2025-09-21T15:50:19,451 | INFO  | activator-1-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.shell.ssh/4.4.3
2025-09-21T15:50:19,470 | INFO  | activator-1-thread-1 | DefaultIoServiceFactoryFactory   | 56 - org.apache.sshd.osgi - 2.9.2 | No detected/configured IoServiceFactoryFactory; using Nio2ServiceFactoryFactory
